name,brand,uid,price,description,image_url,category
"Анод магниевый D:26 L:100, М8х30 водонагревателя",METALAC BOJLER,151047,300,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/e4723e1b-36c0-11e7-81b5-50e549439ffb.JPEG,Водонагреватели электрические (накопительные и проточные)
Элемент нагревательный (ТЭН) 2200Вт водонагревателя,ARISTON,810303,1800,Нагревательный элемент (ТЭН) водонагревателя Ariston  Характеристики:  Мощность - 2200W Напряжение - 230V Материал оболочки - Медь Производитель - Оригинал MTS Установочный габарит - 450мм Тип фланца - Прижимной Кол-во трубок под датчик - Одна трубка Диаметр фланца - 125мм Тип контактов - Разъем Место под анод - М8,https://www.bliz.ru/data/image/catalog/64d8bcfd-daac-11e5-b9bd-50e549439ffb.JPEG,Водонагреватели электрические (накопительные и проточные)
Контейнер посудомоечной машины,HANSA,1016509,200,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/526890b6-e045-11e9-8bb0-0080482c1b0a.JPEG,Посудомоечные машины
Камера духовки,HANSA,9036802,3000,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/1ab25fe0-225c-11e6-bb38-50e549439ffb.JPEG,"Электрические, газовые плиты, духовые шкафы и варочные панели"
Клапан посудомоечной машины,HANSA,1016016,400,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/38642f84-e745-11e5-9518-50e549439ffb.JPEG,Посудомоечные машины
Амортизатор стиральной машины,GORENJE,111818,700,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/ced57863-9b32-11e6-b284-50e549439ffb.JPEG,Стиральные машины
Винт крепежный варочной панели,HANSA,8041668,150,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/2f79f945-3f38-11e6-bb38-50e549439ffb.JPEG,"Электрические, газовые плиты, духовые шкафы и варочные панели"
Кран конфорки газовой плиты,HANSA,8041421,1100,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/895f7703-f62d-11e5-bb77-50e549439ffb.JPEG,"Электрические, газовые плиты, духовые шкафы и варочные панели"
Элемент нагревательный (ТЭН) 2000W водонагревателя,METALAC BOJLER,090926,1500,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/45a874a1-765d-11e6-a083-50e549439ffb.JPEG,Водонагреватели электрические (накопительные и проточные)
"Компрессор R600, 1/6+HP  NBM1114Y, EMT56CLP холодильника",WHIRLPOOL,481236058114,6500,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/4f47081a-b6d4-11e6-a727-50e549439ffb.JPEG,"Холодильные, морозильные шкафы, винотеки"
Выключатель сетевой стиральной машины,CANDY,91201694,329,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/42368166-3e8a-11e6-bb38-50e549439ffb.JPEG,Стиральные машины
Термостат водонагревателя,METALAC BOJLER,108868,1100,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/1766c0fa-764b-11e6-a083-50e549439ffb.JPEG,Водонагреватели электрические (накопительные и проточные)
Лопасть барабана стиральной машины,HANSA,1018690,300,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/9bdc10f2-41bd-11e6-bb39-50e549439ffb.JPEG,Стиральные машины
Клеммная колодка варочной панели,HANSA,8056239,600,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/e7789457-dec5-11e6-9cd4-50e549439ffb.JPEG,"Электрические, газовые плиты, духовые шкафы и варочные панели"
Фиксатор стекла верхний правый двери духовки,HANSA,8048081,200,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/d7846fd0-4871-11e0-8b15-002215572351.JPEG,"Электрические, газовые плиты, духовые шкафы и варочные панели"
Дисплей в сборе хлебопечки,KENWOOD,KW702907,5000,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/b1c19690-57da-11e6-a2a9-50e549439ffb.JPEG,Хлебопечки
Мотор стиральной машины,WHIRLPOOL,480188800154,5500,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/817c8420-7733-11e6-9d4e-50e549439ffb.JPEG,Стиральные машины
Элемент нагревательный (ТЭН) 2000Вт водонагревателя,ARISTON,65109887,1400,Нагреввательный элемент ТЭН  Основные характеристики: Мощность - 2000Вт Диаметр фланца - 48мм,https://www.bliz.ru/data/image/catalog/c2ff6c02-c330-11e5-b9bd-50e549439ffb.JPEG,Водонагреватели электрические (накопительные и проточные)
